,NaturalGas_Conv,Nuclear,Battery,Curtailment,Battery_charge,Battery_level,Cost,WindTurbine
96,0.0,500.0,0.0,-0.0,-152.95675084144557,144.17795218621484,0.0029055,510.2985648110463
97,0.0,500.0,0.0,-408.4199765915529,-250.0,374.666563618537,0.0029055,1000.0
98,0.0,500.0,0.0,-556.9176482811712,-114.7801263977607,480.48861143232216,0.0029055,1000.0
99,26.185947189895614,500.0,250.0,-0.0,-0.0,250.0,0.003491724799740193,0.0
100,66.22898430742566,500.0,250.0,-0.0,-0.0,19.511388567677812,0.004388168271690338,0.0
101,0.0,500.0,0.0,-661.9637068985842,-66.87107892494632,81.16347707324621,0.0029055,1000.0
102,0.0,500.0,0.0,-41.803060324484534,-0.0,81.16347707324621,0.0029055,326.4707260006658
103,0.0,500.0,81.16347707324621,-0.0,-0.0,6.334448554719671,0.0029055,165.25933078684886
104,0.0,500.0,0.0,-343.51009321034985,-0.0,6.334448554719671,0.0029055,651.9349960701832
105,0.0,500.0,0.0,-678.8155433831922,-0.0,6.334448554719671,0.0029055,1000.0
106,0.0,500.0,0.0,-681.4392126285517,-0.0,6.334448554719671,0.0029055,1000.0
107,0.0,500.0,0.0,-633.3149637081599,-0.0,6.334448554719671,0.0029055,1000.0
108,0.0,500.0,0.0,-611.7947266864123,-0.0,6.334448554719671,0.0029055,1000.0
109,0.0,500.0,0.0,-564.3822615542973,-14.292398148299894,19.511388567677812,0.0029055,1000.0
110,0.0,500.0,0.0,-153.1427120921295,-250.0,250.0,0.0029055,840.1294451608732
111,0.0,500.0,0.0,-570.0736638534826,-0.0,250.0,0.0029055,1000.0
112,130.28696165775705,500.0,250.0,-0.0,-0.0,19.511388567677812,0.005822234210632207,72.67882681027268
113,0.0,500.0,0.0,-574.6352033449267,-0.0,19.511388567677812,0.0029055,1000.0
114,0.0,500.0,0.0,-148.5697363409496,-0.0,19.511388567677812,0.0029055,605.3260483258621
115,0.0,500.0,0.0,-560.7906623840281,-0.0,19.511388567677812,0.0029055,1000.0
116,0.0,500.0,0.0,-294.2230513015737,-250.0,250.0,0.0029055,1000.0
117,0.0,500.0,0.0,-557.3081705897162,-0.0,250.0,0.0029055,1000.0
118,93.62262116474426,500.0,250.0,-0.0,-0.0,19.511388567677812,0.0050014296200151295,63.928141741852336
119,0.0,500.0,0.0,-59.66808642723015,-250.0,250.0,0.0029055,646.1462115960308
120,0.0,500.0,0.0,-467.99414139489477,-103.76781666590387,345.66919989875186,0.0029055,928.3899293158021
121,0.0,500.0,157.77151812272996,-0.0,-0.0,200.21104735604195,0.0029055,144.8571630204732
122,0.0,500.0,200.21104735604195,-0.0,-0.0,15.625582162021914,0.0029055,110.97365543359773
123,0.0,500.0,0.0,-118.70326368134022,-174.43411331995924,176.44588842420487,0.0029055,582.7915854075022
124,0.0,500.0,0.0,-95.4903792693732,-250.0,406.93449985652705,0.0029055,600.7375959467511
125,0.0,500.0,170.2193645070912,-0.0,-0.0,250.0,0.0029055,75.98841983007244
126,38.650756778069876,500.0,250.0,-0.0,-0.0,19.511388567677812,0.0037707744919906507,0.0
127,0.0,500.0,0.0,-0.0,-29.808532334080553,46.99349747374863,0.0029055,350.7408794502907
128,0.0,500.0,0.0,-705.9963631239762,-0.0,46.99349747374863,0.0029055,1000.0
129,0.0,500.0,0.0,-447.68953430538386,-232.40968999472548,261.2646443949516,0.0029055,1000.0
130,0.0,500.0,0.0,-424.168938247793,-250.0,491.75325582727373,0.0029055,1000.0
